manufacturer,model,nominal_power_kw,curve_id,T_source_in_C,T_sink_value_C,T_sink_convention,P_heat_kW,P_el_kW,COP,source_document,source_page,provenance,estimated_uncertainty_pct,notes,source_flow_m3h,sink_flow_m3h,flow_provenance,sink_outlet_max_C
Heliopac,Solerpac i-10,10,Teau_entree_22C,-5,22,sink_in,6.55,1.4035,4.667,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.0,2.0,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-10,10,Teau_entree_30C,-5,30,sink_in,6.55,1.7645,3.712,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.0,2.0,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-10,10,Teau_entree_40C,-5,40,sink_in,6.55,2.2054,2.97,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.0,2.0,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-10,10,Teau_entree_47C,-5,47,sink_in,6.55,2.4214,2.705,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.0,2.0,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-10,10,Teau_entree_55C,-5,55,sink_in,6.55,2.9412,2.227,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.0,2.0,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-10,10,Teau_entree_22C,0,22,sink_in,7.4,1.4386,5.144,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.0,2.0,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-10,10,Teau_entree_30C,0,30,sink_in,7.4,1.7892,4.136,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.0,2.0,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-10,10,Teau_entree_40C,0,40,sink_in,7.4,2.2506,3.288,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.0,2.0,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-10,10,Teau_entree_47C,0,47,sink_in,7.4,2.4916,2.97,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.0,2.0,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
Heliopac,Solerpac i-10,10,Teau_entree_55C,0,55,sink_in,7.4,3.1719,2.333,FTi_Solerpac Gamme i V1.pdf,3,NUMERISATION_GRAPHIQUE_FABRICANT_V1,5.0,Numérisation V1 du graphe; à remplacer par données numériques fabricant si disponibles.,2.0,2.0,FTi_Solerpac Gamme i V1.pdf p.2 — débit optimal par Solerpac,65.0
