manufacturer,model,nominal_power_kw,curve_id,T_source_in_C,T_sink_value_C,T_sink_convention,P_heat_kW,P_el_kW,COP,source_document,source_page,provenance,estimated_uncertainty_pct,data_quality,notes,source_flow_m3h,sink_flow_m3h,source_pump_kW,sink_pump_kW,source_operating_min_C,source_operating_max_C,sink_outlet_max_C
Heliopac,Solerpac-P50,50,T_eau_sortie_25C,-5.0,25,sink_out,34.608,8.5734,4.0367,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",5.0,5.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P50,50,T_eau_sortie_35C,-5.0,35,sink_out,33.6,9.7297,3.4533,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",5.0,5.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P50,50,T_eau_sortie_45C,-5.0,45,sink_out,33.7314,12.0469,2.8,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",5.0,5.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P50,50,T_eau_sortie_55C,-5.0,55,sink_out,31.5984,12.5974,2.5083,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",5.0,5.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P50,50,T_eau_sortie_25C,0.0,25,sink_out,40.1357,9.1011,4.41,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",5.0,5.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P50,50,T_eau_sortie_35C,0.0,35,sink_out,38.9667,10.3727,3.7567,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",5.0,5.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P50,50,T_eau_sortie_45C,0.0,45,sink_out,39.1191,12.8964,3.0333,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",5.0,5.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P50,50,T_eau_sortie_55C,0.0,55,sink_out,36.6453,13.6567,2.6833,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",5.0,5.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P50,50,T_eau_sortie_25C,5.0,25,sink_out,45.6633,9.5463,4.7833,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",5.0,5.0,0.3,0.075,-12.0,75.0,55.0
Heliopac,Solerpac-P50,50,T_eau_sortie_35C,5.0,35,sink_out,44.3333,10.6742,4.1533,Courbe Solerpac P-25/P-50 fournie + FT1p V3.1 + XML SoloPAC,graph + FT1p p.2,NUMERISATION_GRAPHIQUE_COP + RECONSTRUCTION_PUISSANCE_ANCRÉE_FABRICANT,7.5,DIGITIZED_COP_WITH_RECONSTRUCTED_POWER,"COP numérisé sur courbes 25/35/45/55°C. P chaleur: courbe 35°C numérisée, corrigée par ratios ancrés sur points FT1p/XML; approximation explicite entre points.",5.0,5.0,0.3,0.075,-12.0,75.0,55.0
