city,department,label,latitude,longitude
Bourg-en-Bresse,1,1 - Bourg-en-Bresse,46.204,5.224
Laon,2,2 - Laon,49.563,3.622
Moulins,3,3 - Moulins,46.564,3.327
Digne-les-Bains,4,4 - Digne-les-Bains,44.092,6.233
Gap,5,5 - Gap,44.555,6.084
Nice,6,6 - Nice,43.701,7.26
Privas,7,7 - Privas,44.736,4.599
Charleville-Mézières,8,8 - Charleville-Mézières,49.756,4.733
Foix,9,9 - Foix,42.963,1.605
Troyes,10,10 - Troyes,48.296,4.074
Carcassonne,11,11 - Carcassonne,43.215,2.356
Millau,12,12 - Millau,44.08,3.047
Rodez,12,12 - Rodez,44.348,2.569
Aix-en-Provence,13,13 - Aix-en-Provence,43.522,5.443
Caen,14,14 - Caen,49.176,-0.364
Aurillac,15,15 - Aurillac,44.928,2.442
Angoulême,16,16 - Angoulême,45.649,0.154
La Rochelle,17,17 - La Rochelle,46.153,-1.127
Bourges,18,18 - Bourges,47.077,2.387
Brive-la-Gaillarde,19,19 - Brive-la-Gaillarde,45.157,1.526
Dijon,21,21 - Dijon,47.322,5.052
Saint-Brieuc,22,22 - Saint-Brieuc,48.512,-2.762
Guéret,23,23 - Guéret,46.168,1.871
Périgueux,24,24 - Périgueux,45.19,0.718
Besançon,25,25 - Besançon,47.232,6.03
Valence,26,26 - Valence,44.925,4.898
Évreux,27,27 - Évreux,49.025,1.149
Chartres,28,28 - Chartres,48.443,1.489
Brest,29,29 - Brest,48.394,-4.484
Nîmes,30,30 - Nîmes,43.837,4.361
Toulouse,31,31 - Toulouse,43.594,1.443
Auch,32,32 - Auch,43.646,0.585
Bordeaux,33,33 - Bordeaux,44.838,-0.585
Montpellier,34,34 - Montpellier,43.608,3.888
Rennes,35,35 - Rennes,48.121,-1.67
Saint-Malo,35,35 - Saint-Malo,48.639,-2.016
Châteauroux,36,36 - Châteauroux,46.8,1.685
Tours,37,37 - Tours,47.389,0.691
Grenoble,38,38 - Grenoble,45.177,5.724
Lons-le-Saunier,39,39 - Lons-le-Saunier,46.671,5.557
Mimizan,40,40 - Mimizan,44.201,-1.231
Mont-de-Marsan,40,40 - Mont-de-Marsan,43.889,-0.514
Blois,41,41 - Blois,47.585,1.335
Saint-Étienne,42,42 - Saint-Étienne,45.441,4.386
Le Puy-en-Velay,43,43 - Le Puy-en-Velay,45.039,3.874
Nantes,44,44 - Nantes,47.225,-1.559
Orléans,45,45 - Orléans,47.892,1.888
Cahors,46,46 - Cahors,44.451,1.436
Agen,47,47 - Agen,44.199,0.613
Mende,48,48 - Mende,44.519,3.5
Angers,49,49 - Angers,47.467,-0.549
Cherbourg-en-Cotentin,50,50 - Cherbourg-en-Cotentin,49.639,-1.624
Saint-Lô,50,50 - Saint-Lô,49.115,-1.094
Châlons-en-Champagne,51,51 - Châlons-en-Champagne,48.953,4.358
Reims,51,51 - Reims,49.251,4.041
Chaumont,52,52 - Chaumont,48.108,5.14
Laval,53,53 - Laval,48.071,-0.774
Nancy,54,54 - Nancy,48.702,6.196
Bar-le-Duc,55,55 - Bar-le-Duc,48.77,5.157
Lorient,56,56 - Lorient,47.749,-3.361
Vannes,56,56 - Vannes,47.653,-2.775
Metz,57,57 - Metz,49.119,6.176
Nevers,58,58 - Nevers,46.989,3.154
Dunkerque,59,59 - Dunkerque,51.025,2.361
Lille,59,59 - Lille,50.623,3.075
Beauvais,60,60 - Beauvais,49.43,2.082
Alençon,61,61 - Alençon,48.431,0.091
Arras,62,62 - Arras,50.282,2.77
Clermont-Ferrand,63,63 - Clermont-Ferrand,45.783,3.094
Bayonne,64,64 - Bayonne,43.48,-1.549
Pau,64,64 - Pau,43.295,-0.368
Tarbes,65,65 - Tarbes,43.231,0.075
Perpignan,66,66 - Perpignan,42.696,2.891
Strasbourg,67,67 - Strasbourg,48.587,7.755
Colmar,68,68 - Colmar,48.077,7.356
Mulhouse,68,68 - Mulhouse,47.752,7.337
Lyon,69,69 - Lyon,45.79,4.887
Vesoul,70,70 - Vesoul,47.618,6.155
Mâcon,71,71 - Mâcon,46.304,4.833
Le Mans,72,72 - Le Mans,47.98,0.196
Chambéry,73,73 - Chambéry,45.567,5.92
Annecy,74,74 - Annecy,45.89,6.14
Paris,75,75 - Paris,48.862,2.361
Rouen,76,76 - Rouen,49.423,1.108
Melun,77,77 - Melun,48.539,2.66
Niort,79,79 - Niort,46.326,-0.468
Amiens,80,80 - Amiens,49.892,2.289
Albi,81,81 - Albi,43.925,2.147
Montauban,82,82 - Montauban,44.017,1.348
Toulon,83,83 - Toulon,43.124,5.926
Avignon,84,84 - Avignon,43.945,4.794
La Roche-sur-Yon,85,85 - La Roche-sur-Yon,46.671,-1.426
Poitiers,86,86 - Poitiers,46.572,0.323
Limoges,87,87 - Limoges,45.834,1.268
Épinal,88,88 - Épinal,48.168,6.445
Auxerre,89,89 - Auxerre,47.789,3.57
Belfort,90,90 - Belfort,47.633,6.856
Cergy,95,95 - Cergy,49.052,2.035
Ajaccio,2A,2A - Ajaccio,41.935,8.742
Bastia,2B,2B - Bastia,42.699,9.45
